qualifying_id,race_id,driver_id,position,q1_time,q2_time,q3_time
10073,1121,max_verstappen,1,1:30.031,1:29.374,1:29.179
10074,1121,leclerc,2,1:30.243,1:29.165,1:29.407
10075,1121,russell,3,1:30.350,1:29.922,1:29.485
10076,1121,sainz,4,1:29.909,1:29.573,1:29.507
10077,1121,perez,5,1:30.221,1:29.932,1:29.537
10078,1121,alonso,6,1:30.179,1:29.801,1:29.542
10079,1121,norris,7,1:30.143,1:29.941,1:29.614
10080,1121,piastri,8,1:30.531,1:30.122,1:29.683
10081,1121,hamilton,9,1:30.451,1:29.718,1:29.710
10082,1121,hulkenberg,10,1:30.566,1:29.851,1:30.502
10083,1121,tsunoda,11,1:30.481,1:30.129,\N
10084,1121,stroll,12,1:29.965,1:30.200,\N
10085,1121,albon,13,1:30.397,1:30.221,\N
10086,1121,ricciardo,14,1:30.562,1:30.278,\N
10087,1121,kevin_magnussen,15,1:30.646,1:30.529,\N
10088,1121,bottas,16,1:30.756,\N,\N
10089,1121,zhou,17,1:30.757,\N,\N
10090,1121,sargeant,18,1:30.770,\N,\N
10091,1121,ocon,19,1:30.793,\N,\N
10092,1121,gasly,20,1:30.948,\N,\N
10093,1122,max_verstappen,1,1:28.171,1:28.033,1:27.472
10094,1122,leclerc,2,1:28.318,1:28.112,1:27.791
10095,1122,perez,3,1:28.638,1:28.467,1:27.807
10096,1122,alonso,4,1:28.706,1:28.122,1:27.846
10097,1122,piastri,5,1:28.755,1:28.343,1:28.089
10098,1122,norris,6,1:28.805,1:28.479,1:28.132
10099,1122,russell,7,1:28.749,1:28.448,1:28.316
10100,1122,hamilton,8,1:28.994,1:28.606,1:28.460
10101,1122,tsunoda,9,1:28.988,1:28.564,1:28.547
10102,1122,stroll,10,1:28.250,1:28.578,1:28.572
10103,1122,bearman,11,1:28.984,1:28.642,
10104,1122,albon,12,1:29.107,1:28.980,
10105,1122,kevin_magnussen,13,1:29.069,1:29.020,
10106,1122,ricciardo,14,1:29.065,1:29.025,
10107,1122,hulkenberg,15,1:29.055,,
10108,1122,bottas,16,1:29.179,,
